"","NOM","PROV","CODINE","COMARCA","CODCOMA","POBMAY65","PLAZSHOT","PLAZSAPA","PLAZSCAM","PLAZSRUR","PLAZALB","PLAZREST","AGVIAJ","EMPTACT","TOTREGL","PVPUT11","PRYVPUT","PARO2015","VPAR0615","POB2015","VPOB0615","POBESP","POBEXT","POBEUR","INMRESI","PINMRES","INMLAB","PINMLAB","POREXTRAN","PREHUX15","VPRES615","GTOSHAB15","TFTRES15","VTFTRES","TFTREGL15","VTFTREG","TIPO"
"11","Alfàs del Pi","Alicante",3011,"La Marina Baixa",31,"0.25",2274,5878,0,0,0,11234,10,2,8152,"10990","19142","0.08","1.58",21700,"0.17",9710,11990,11008,11008,"0.51",982,"0.05","0.55","2120.62","0.1","914.58","0.39","-0.25","0.38","0.74","LITORAL"
"14","Alicante","Alicante",3014,"L'Alacantí",32,"0.18",7829,4609,0,0,116,50211,90,14,12554,"144515","157069","0.16","1.63",328648,"0.02",288786,39862,14398,14398,"0.04",25464,"0.08","0.12","2413.31","0.04","740.29","0.31","-0.02","0.04","0.44","LITORAL"
"18","Altea","Alicante",3018,"La Marina Baixa",31,"0.2",1429,2835,1047,0,0,7133,8,5,5311,"19652.5","24963.5","0.12","2.28",22385,"0.02",14744,7641,6231,6231,"0.28",1410,"0.06","0.34","1375.29","0.17","900.76","0.61","0.95","0.24","0.36","LITORAL"
"31","Benidorm","Alicante",3031,"La Marina Baixa",31,"0.19",40584,22334,12816,0,0,26279,55,8,75734,"96652.5","172386.5","0.13","1.69",69045,"0.02",48668,20377,12212,12212,"0.18",8165,"0.12","0.3","6269.34","0.13","1339.72","1.27","0.36","1.1","0.11","LITORAL"
"41","Benissa","Alicante",3041,"La Marina Alta",30,"0.26",182,4797,0,26,50,2274,1,1,5055,"12407.5","17462.5","0.11","2.22",11598,"-0.07",7202,4396,3798,3798,"0.33",598,"0.05","0.38","416.89","0.04","1265.56","0.32","-0.26","0.44","0.6","LITORAL"
"42","Benitachell","Alicante",3042,"La Marina Alta",30,"0.37",10,1778,0,0,0,802,1,0,1788,"6230","8018","0.06","2.66",4690,"0.1",1640,3050,2844,2844,"0.61",206,"0.04","0.65","1004.28","0.39","1020.37","1.04","0.53","0.38","0.6","LITORAL"
"47","Calp","Alicante",3047,"La Marina Alta",30,"0.22",3541,16378,909,0,149,11731,6,5,20977,"46821.25","67798.25","0.12","2.18",21540,"-0.18",11309,10231,8336,8336,"0.39",1895,"0.09","0.47","3800.15","0.17","1515.91","1.92","0.47","0.97","0.83","LITORAL"
"50","Campello","Alicante",3050,"L'Alacantí",32,"0.19",543,1738,993,8,0,5404,3,8,3282,"49420","52702","0.12","2.12",27356,"0.11",22766,4590,3565,3565,"0.13",1025,"0.04","0.17","1448.55","0.26","872.83","1.61","0.13","0.12","0.38","LITORAL"
"63","Dénia","Alicante",3063,"La Marina Alta",30,"0.17",2353,11898,1566,0,52,17527,13,14,15869,"67541.25","83410.25","0.16","1.76",41553,"0",32407,9146,6406,6406,"0.15",2740,"0.07","0.22","1888.26","-0.02","1170.16","1.05","-0.34","0.38","0.28","LITORAL"
"65","Elche","Alicante",3065,"El Baix Vinalopó",33,"0.15",1778,430,1215,0,0,24818,40,4,3423,"71540","74963","0.19","0.75",227312,"0.04",205195,22117,7786,7786,"0.03",14331,"0.06","0.1","927.03","0.03","688.99","0.21","0","0.02","-0.3","LITORAL"
"69","Finestrat","Alicante",3069,"La Marina Baixa",31,"0.16",533,2699,90,44,0,0,3,0,3366,"8120","11486","0.09","2.22",6239,"0.5",3738,2501,2106,2106,"0.34",395,"0.06","0.4","419.49","0.41","2084.87","1.06","0.24","0.54","-0.13","LITORAL"
"76","Guardamar del Segura","Alicante",3076,"El Baix Segura",34,"0.25",1767,916,1257,0,0,5831,4,1,3940,"45333.75","49273.75","0.11","2.37",15589,"0.09",10348,5241,4488,4488,"0.29",753,"0.05","0.34","1822.78","0.49","1055.42","2.29","2.66","0.25","0.03","LITORAL"
"82","Jávea","Alicante",3082,"La Marina Alta",30,"0.24",1020,13956,1309,0,50,11817,6,14,16335,"36303.75","52638.75","0.1","2.23",27681,"-0.05",15439,12242,9808,9808,"0.35",2434,"0.09","0.44","1171.01","-0.02","1325.99","0.97","-0.26","0.59","0.53","LITORAL"
"98","Orihuela","Alicante",3099,"El Baix Segura",34,"0.23",948,5268,0,20,0,17050,10,1,6236,"115570","121806","0.12","2.3",82675,"0.06",52400,30275,25230,25230,"0.31",5045,"0.06","0.37","559.55","0.6","810.94","1.17","1.52","0.08","0.88","LITORAL"
"119","Santa Pola","Alicante",3121,"El Baix Vinalopó",33,"0.18",375,3526,1365,0,0,9584,4,6,5266,"94640","99906","0.14","1.91",31657,"0.15",26057,5600,4296,4296,"0.14",1304,"0.04","0.18","2262.05","0.2","977.68","2.67","0.15","0.17","0.1","LITORAL"
"125","Teulada","Alicante",3128,"La Marina Alta",30,"0.31",304,5243,283,11,0,6385,5,4,5841,"22172.5","28013.5","0.09","3.11",11460,"-0.1",5094,6366,5474,5474,"0.48",892,"0.08","0.56","1224.19","-0.04","1316.33","1.64","-0.12","0.51","0.91","LITORAL"
"130","Torrevieja","Alicante",3133,"El Baix Segura",34,"0.22",1698,3095,761,0,0,27934,23,13,5554,"253846.25","259400.25","0.16","2.35",88447,"-0.04",50604,37843,27389,27389,"0.31",10454,"0.12","0.43","4869.24","0","1059.84","2.48","0.05","0.06","0.12","LITORAL"
