year;month;arrivals
2004;1;476511
2004;2;534494
2004;3;647784
2004;4;715807
2004;5;776707
2004;6;827069
2004;7;911745
2004;8;943461
2004;9;856924
2004;10;838054
2004;11;565276
2004;12;477312
2005;1;506812
2005;2;506590
2005;3;658054
2005;4;711568
2005;5;815358
2005;6;858026
2005;7;968807
2005;8;979375
2005;9;890761
2005;10;853049
2005;11;569644
2005;12;478291
2006;1;477702
2006;2;504038
2006;3;631624
2006;4;766317
2006;5;822193
2006;6;876715
2006;7;976747
2006;8;980099
2006;9;912954
2006;10;857163
2006;11;579841
2006;12;508327
2007;1;479622
2007;2;496949
2007;3;651367
2007;4;732854
2007;5;827623
2007;6;901807
2007;7;1010947
2007;8;1032226
2007;9;941547
2007;10;866235
2007;11;611305
2007;12;568149
2008;1;543055
2008;2;595153
2008;3;780443
2008;4;805050
2008;5;908454
2008;6;929913
2008;7;1051461
2008;8;1073952
2008;9;944276
2008;10;872294
2008;11;566580
2008;12;507673
2009;1;458634
2009;2;489489
2009;3;618048
2009;4;755637
2009;5;823523
2009;6;895345
2009;7;1056923
2009;8;1108512
2009;9;955093
2009;10;883763
2009;11;569861
2009;12;524779
2010;1;467353
2010;2;505677
2010;3;674626
2010;4;704224
2010;5;881139
2010;6;947150
2010;7;1099605
2010;8;1114066
2010;9;975232
2010;10;955434
2010;11;579049
2010;12;479380
2011;1;481571
2011;2;523208
2011;3;666782
2011;4;900511
2011;5;945845
2011;6;1007220
2011;7;1174542
2011;8;1164950
2011;9;1050427
2011;10;989476
2011;11;543095
2011;12;466137
2012;1;424309
2012;2;455827
2012;3;603500
2012;4;769522
2012;5;826248
2012;6;897867
2012;7;1076170
2012;8;1065962
2012;9;932455
2012;10;834999
2012;11;519746
2012;12;448836
2013;1;431743
2013;2;449683
2013;3;615526
2013;4;827764
2013;5;930205
2013;6;996864
2013;7;1176814
2013;8;1166676
2013;9;1023288
2013;10;931260
2013;11;592403
2013;12;496634
2014;1;463550
2014;2;492724
2014;3;641049
2014;4;907495
2014;5;974449
2014;6;1043130
2014;7;1204167
2014;8;1212814
2014;9;1049176
2014;10;966287
2014;11;590618
2014;12;520414
2015;1;498596
2015;2;503823
2015;3;669004
2015;4;924741
2015;5;1014650
2015;6;1073957
2015;7;1250395
2015;8;1260839
2015;9;1097645
2015;10;1027071
2015;11;645520
2015;12;608243
2016;1;593149
2016;2;610441
2016;3;837094
2016;4;1018755
2016;5;1136255
2016;6;1242372
2016;7;1463623
2016;8;1447343
2016;9;1295675
2016;10;1227162
2016;11;772856
2016;12;700220
2017;1;684967
2017;2;687107
2017;3;907603
2017;4;1229387
2017;5;1288038
2017;6;1402226
2017;7;1632871
2017;8;1616177
2017;9;1437449
2017;10;1279291
2017;11;801411
2017;12;746534
2018;1;705773
2018;2;711893
2018;3;957857
2018;4;1222639
2018;5;1307789
